clip_id,concentration,frame_index,raw_frame,frame_step
C_02,2,17,16697,1
C_02,2,18,16698,1
C_02,2,19,16699,1
C_02,2,20,16700,1
C_02,2,21,16701,1
C_02,2,22,16702,1
C_02,2,23,16703,1
C_02,2,24,16704,1
C_02,2,25,16705,1
C_02,2,26,16706,1
C_02,2,27,16707,1
C_02,2,28,16708,1
C_02,2,29,16709,1
C_02,2,30,16710,1
C_02,2,31,16711,1
C_02,2,32,16712,1
C_02,2,33,16713,1
C_02,2,34,16714,1
C_02,2,35,16715,1
C_02,2,36,16716,1
C_02,2,37,16717,1
C_02,2,38,16718,1
C_02,2,39,16719,1
C_02,2,40,16720,1
C_02,2,41,16721,1
C_02,2,42,16722,1
C_02,2,43,16723,1
C_02,2,44,16724,1
C_02,2,45,16725,1
C_02,2,46,16726,1
C_02,2,47,16727,1
C_02,2,48,16728,1
C_02,2,49,16729,1
C_02,2,50,16730,1
C_02,2,51,16731,1
C_02,2,52,16732,1
C_02,2,53,16733,1
C_02,2,54,16734,1
C_02,2,55,16735,1
C_02,2,56,16736,1
C_02,2,57,16737,1
C_02,2,58,16738,1
C_02,2,59,16739,1
C_02,2,60,16740,1
C_02,2,61,16741,1
C_02,2,62,16742,1
C_02,2,63,16743,1
C_02,2,64,16744,1
C_02,2,65,16745,1
C_02,2,66,16746,1
C_02,2,67,16747,1
C_02,2,68,16748,1
C_02,2,69,16749,1
C_02,2,70,16750,1
C_02,2,71,16751,1
C_02,2,72,16752,1
C_02,2,73,16753,1
C_02,2,74,16754,1
C_02,2,75,16755,1
C_02,2,76,16756,1
C_02,2,77,16757,1
C_02,2,78,16758,1
C_02,2,79,16759,1
C_02,2,80,16760,1
C_02,2,81,16761,1
C_02,2,82,16762,1
C_02,2,83,16763,1
C_02,2,84,16764,1
C_02,2,85,16765,1
C_02,2,86,16766,1
C_02,2,87,16767,1
C_02,2,88,16768,1
C_02,2,89,16769,1
C_02,2,90,16770,1
C_02,2,91,16771,1
C_02,2,92,16772,1
C_02,2,93,16773,1
C_02,2,94,16774,1
C_02,2,95,16775,1
C_02,2,96,16776,1
C_02,2,97,16777,1
C_02,2,98,16778,1
C_02,2,99,16779,1
C_04,4,0,2331,3
C_04,4,1,2334,3
C_04,4,2,2337,3
C_04,4,3,2340,3
C_04,4,4,2343,3
C_04,4,5,2346,3
C_04,4,6,2349,3
C_04,4,7,2352,3
C_04,4,8,2355,3
C_04,4,9,2358,3
C_04,4,10,2361,3
C_04,4,11,2364,3
C_04,4,12,2367,3
C_04,4,13,2370,3
C_04,4,14,2373,3
C_04,4,15,2376,3
C_04,4,16,2379,3
C_04,4,17,2382,3
C_04,4,18,2385,3
C_04,4,19,2388,3
C_04,4,20,2391,3
C_04,4,21,2394,3
C_04,4,22,2397,3
C_04,4,23,2400,3
C_04,4,24,2403,3
C_04,4,25,2406,3
C_04,4,26,2409,3
C_04,4,27,2412,3
C_04,4,28,2415,3
C_04,4,29,2418,3
C_04,4,30,2421,3
C_04,4,31,2424,3
C_04,4,32,2427,3
C_04,4,33,2430,3
C_04,4,34,2433,3
C_04,4,35,2436,3
C_04,4,36,2439,3
C_04,4,37,2442,3
C_04,4,38,2445,3
C_04,4,39,2448,3
C_04,4,40,2451,3
C_04,4,41,2454,3
C_04,4,42,2457,3
C_04,4,43,2460,3
C_04,4,44,2463,3
C_04,4,45,2466,3
C_04,4,46,2469,3
C_04,4,47,2472,3
C_04,4,48,2475,3
C_04,4,49,2478,3
C_04,4,50,2481,3
C_04,4,51,2484,3
C_04,4,52,2487,3
C_04,4,53,2490,3
C_04,4,54,2493,3
C_04,4,55,2496,3
C_04,4,56,2499,3
C_04,4,57,2502,3
C_04,4,58,2505,3
C_04,4,59,2508,3
C_04,4,60,2511,3
C_04,4,61,2514,3
C_04,4,62,2517,3
C_04,4,63,2520,3
C_04,4,64,2523,3
C_04,4,65,2526,3
C_04,4,66,2529,3
C_04,4,67,2532,3
C_04,4,68,2535,3
C_04,4,69,2538,3
C_04,4,70,2541,3
C_04,4,71,2544,3
C_04,4,72,2547,3
C_04,4,73,2550,3
C_04,4,74,2553,3
C_04,4,75,2556,3
C_04,4,76,2559,3
C_04,4,77,2562,3
C_04,4,78,2565,3
C_04,4,79,2568,3
C_04,4,80,2571,3
C_04,4,81,2574,3
C_04,4,82,2577,3
C_04,4,83,2580,3
C_04,4,84,2583,3
C_04,4,85,2586,3
C_04,4,86,2589,3
C_04,4,87,2592,3
C_04,4,88,2595,3
C_04,4,89,2598,3
C_04,4,90,2601,3
C_04,4,91,2604,3
C_04,4,92,2607,3
C_04,4,93,2610,3
C_04,4,94,2613,3
C_04,4,95,2616,3
C_04,4,96,2619,3
C_04,4,97,2622,3
C_04,4,98,2625,3
C_04,4,99,2628,3
C_08,8,0,13210,2
C_08,8,1,13212,2
C_08,8,2,13214,2
C_08,8,3,13216,2
C_08,8,4,13218,2
C_08,8,5,13220,2
C_08,8,6,13222,2
C_08,8,7,13224,2
C_08,8,8,13226,2
C_08,8,9,13228,2
C_08,8,10,13230,2
C_08,8,11,13232,2
C_08,8,12,13234,2
C_08,8,13,13236,2
C_08,8,14,13238,2
C_08,8,15,13240,2
C_08,8,16,13242,2
C_08,8,17,13244,2
C_08,8,18,13246,2
C_08,8,19,13248,2
C_08,8,20,13250,2
C_08,8,21,13252,2
C_08,8,22,13254,2
C_08,8,23,13256,2
C_08,8,24,13258,2
C_08,8,25,13260,2
C_08,8,26,13262,2
C_08,8,27,13264,2
C_08,8,28,13266,2
C_08,8,29,13268,2
C_08,8,30,13270,2
C_08,8,31,13272,2
C_08,8,32,13274,2
C_08,8,33,13276,2
C_08,8,34,13278,2
C_08,8,35,13280,2
C_08,8,36,13282,2
C_08,8,37,13284,2
C_08,8,38,13286,2
C_08,8,39,13288,2
C_08,8,40,13290,2
C_08,8,41,13292,2
C_08,8,42,13294,2
C_08,8,43,13296,2
C_08,8,44,13298,2
C_08,8,45,13300,2
C_08,8,46,13302,2
C_08,8,47,13304,2
C_08,8,48,13306,2
C_08,8,49,13308,2
C_08,8,50,13310,2
C_08,8,51,13312,2
C_08,8,52,13314,2
C_08,8,53,13316,2
C_08,8,54,13318,2
C_08,8,55,13320,2
C_08,8,56,13322,2
C_08,8,57,13324,2
C_08,8,58,13326,2
C_08,8,59,13328,2
C_08,8,60,13330,2
C_08,8,61,13332,2
C_08,8,62,13334,2
C_08,8,63,13336,2
C_08,8,64,13338,2
C_08,8,65,13340,2
C_08,8,66,13342,2
C_08,8,67,13344,2
C_08,8,68,13346,2
C_08,8,69,13348,2
C_08,8,70,13350,2
C_08,8,71,13352,2
C_08,8,72,13354,2
C_08,8,73,13356,2
C_08,8,74,13358,2
C_08,8,75,13360,2
C_08,8,76,13362,2
C_08,8,77,13364,2
C_08,8,78,13366,2
C_08,8,79,13368,2
C_08,8,80,13370,2
C_08,8,81,13372,2
C_08,8,82,13374,2
C_08,8,83,13376,2
C_08,8,84,13378,2
C_08,8,85,13380,2
C_08,8,86,13382,2
C_08,8,87,13384,2
C_08,8,88,13386,2
C_08,8,89,13388,2
C_08,8,90,13390,2
C_08,8,91,13392,2
C_08,8,92,13394,2
C_08,8,93,13396,2
C_08,8,94,13398,2
C_08,8,95,13400,2
C_08,8,96,13402,2
C_08,8,97,13404,2
C_08,8,98,13406,2
C_08,8,99,13408,2
C_16,16,0,14990,1
C_16,16,1,14991,1
C_16,16,2,14992,1
C_16,16,3,14993,1
C_16,16,4,14994,1
C_16,16,5,14995,1
C_16,16,6,14996,1
C_16,16,7,14997,1
C_16,16,8,14998,1
C_16,16,9,14999,1
C_16,16,10,15000,1
C_16,16,11,15001,1
C_16,16,12,15002,1
C_16,16,13,15003,1
C_16,16,14,15004,1
C_16,16,15,15005,1
C_16,16,16,15006,1
C_16,16,17,15007,1
C_16,16,18,15008,1
C_16,16,19,15009,1
C_16,16,20,15010,1
C_16,16,21,15011,1
C_16,16,22,15012,1
C_16,16,23,15013,1
C_16,16,24,15014,1
C_16,16,25,15015,1
C_16,16,26,15016,1
C_16,16,27,15017,1
C_16,16,28,15018,1
C_16,16,29,15019,1
C_16,16,30,15020,1
C_16,16,31,15021,1
C_16,16,32,15022,1
C_16,16,33,15023,1
C_16,16,34,15024,1
C_16,16,35,15025,1
C_16,16,36,15026,1
C_16,16,37,15027,1
C_16,16,38,15028,1
C_16,16,39,15029,1
C_16,16,40,15030,1
C_16,16,41,15031,1
C_16,16,42,15032,1
C_16,16,43,15033,1
C_16,16,44,15034,1
C_16,16,45,15035,1
C_16,16,46,15036,1
C_16,16,47,15037,1
C_16,16,48,15038,1
C_16,16,49,15039,1
C_16,16,50,15040,1
C_16,16,51,15041,1
C_16,16,52,15042,1
C_16,16,53,15043,1
C_16,16,54,15044,1
C_16,16,55,15045,1
C_16,16,56,15046,1
C_16,16,57,15047,1
C_16,16,58,15048,1
C_16,16,59,15049,1
C_16,16,60,15050,1
C_16,16,61,15051,1
C_16,16,62,15052,1
C_16,16,63,15053,1
C_16,16,64,15054,1
C_16,16,65,15055,1
C_16,16,66,15056,1
C_16,16,67,15057,1
C_16,16,68,15058,1
C_16,16,69,15059,1
C_16,16,70,15060,1
C_16,16,71,15061,1
C_16,16,72,15062,1
C_16,16,73,15063,1
C_16,16,74,15064,1
C_16,16,75,15065,1
C_16,16,76,15066,1
C_16,16,77,15067,1
C_16,16,78,15068,1
C_16,16,79,15069,1
C_16,16,80,15070,1
C_16,16,81,15071,1
C_16,16,82,15072,1
C_16,16,83,15073,1
C_16,16,84,15074,1
C_16,16,85,15075,1
C_16,16,86,15076,1
C_16,16,87,15077,1
C_16,16,88,15078,1
C_16,16,89,15079,1
C_16,16,90,15080,1
C_16,16,91,15081,1
C_16,16,92,15082,1
C_16,16,93,15083,1
C_16,16,94,15084,1
C_16,16,95,15085,1
C_16,16,96,15086,1
C_16,16,97,15087,1
C_16,16,98,15088,1
C_16,16,99,15089,1
