TP,FP,FN,Precision,Recall,F1,Thr,noise,ppp
8232.0,4.0,70.0,0.9995143273432492,0.9915682967958332,0.9955254560242556,0.475,0.0025,0.001
7991.0,51.0,147.0,0.9936582939566035,0.9819365937575593,0.9877626694628127,0.39999999999999997,0.0625,0.001
36780.0,121.0,1339.0,0.9967209560716243,0.9648731603661963,0.9805385225606229,0.475,0.0025,0.005
33008.0,938.0,2790.0,0.9723678783950696,0.9220626850661792,0.946547372751071,0.39999999999999997,0.0625,0.005
61021.0,554.0,4297.0,0.9910028420625093,0.934214152301036,0.9617709403718627,0.44999999999999996,0.0025,0.008
56308.0,2456.0,9219.0,0.9582057041726064,0.8593099027881506,0.906067212734926,0.42499999999999993,0.0625,0.008
87901.0,1962.0,12122.0,0.978166764964435,0.8788078741889277,0.9258291812209796,0.44999999999999996,0.0025,0.012
79339.0,5867.0,24250.0,0.9311433467126619,0.7659017849385479,0.8404777663947446,0.42499999999999993,0.0625,0.012
105326.0,4013.0,20003.0,0.9632976339640845,0.8403960775239502,0.8976596718905389,0.42499999999999993,0.0025,0.015
90070.0,9499.0,34168.0,0.9045988209181481,0.7249794748788557,0.8048899269882286,0.39999999999999997,0.0625,0.015
120791.0,6660.0,32549.0,0.9477446234238966,0.7877331420372976,0.860362333054821,0.42499999999999993,0.0025,0.019
104855.0,13836.0,56589.0,0.883428398109369,0.6494821733851946,0.7486033514669477,0.39999999999999997,0.0625,0.019
132621.0,9189.0,46945.0,0.9352020308863908,0.7385640934252546,0.8253323205265115,0.42499999999999993,0.0025,0.022
108965.0,15500.0,65741.0,0.8754669987546629,0.6237049672020387,0.7284462727157097,0.39999999999999997,0.0625,0.022
147949.0,15135.0,69535.0,0.9071950651198101,0.6802753305990294,0.7775167639255075,0.39999999999999997,0.0025,0.025
122987.0,25139.0,94044.0,0.8302863778134776,0.5666794144615259,0.6736116241066754,0.37499999999999994,0.0625,0.025
156018.0,17807.0,87889.0,0.8975578886811397,0.6396618383236208,0.7469765299211247,0.39999999999999997,0.0025,0.029
129925.0,28625.0,113992.0,0.8194575843582415,0.5326607001561985,0.6456429963396223,0.37499999999999994,0.0625,0.029
160694.0,19882.0,104899.0,0.8898967747651909,0.6050385364072073,0.720327946999935,0.39999999999999997,0.0025,0.032
135530.0,32070.0,134179.0,0.8086515513126444,0.5025045512014783,0.6198363166394133,0.37499999999999994,0.0625,0.032
170200.0,28477.0,131263.0,0.8566668512208215,0.5645800645518668,0.6806094288808946,0.37499999999999994,0.0025,0.036
145465.0,43928.0,153082.0,0.7680590095726835,0.48724321463621983,0.5962413406735211,0.35,0.0625,0.036
177378.0,32629.0,161150.0,0.8446289885575203,0.5239684752812159,0.6467335716787213,0.37499999999999994,0.0025,0.039
156075.0,52149.0,199943.0,0.7495533656062666,0.4383907555235959,0.5532200717728103,0.35,0.0625,0.039
178780.0,33628.0,172719.0,0.8416820458739744,0.5086216461497742,0.6340761858519206,0.37499999999999994,0.0025,0.043
155417.0,51802.0,198221.0,0.7500132709838347,0.43948048569440945,0.5542125706529163,0.35,0.0625,0.043
186045.0,43944.0,187000.0,0.8089299923039762,0.49871999356645846,0.6170298850735615,0.35,0.0025,0.047
167114.0,69805.0,222133.0,0.7053634364487411,0.429326366034933,0.5337690000821578,0.32499999999999996,0.0625,0.047
199860.0,63352.0,236131.0,0.7593118854763432,0.45840395787986343,0.571679468869191,0.32499999999999996,0.0025,0.05
173299.0,75734.0,256958.0,0.6958876935988375,0.40278019881140714,0.5102356867972851,0.32499999999999996,0.0625,0.05
